Product name,Price,Image URL,Scroll batch,SKU,Description,Detail URL
Challenge,$52 ,https://www.scrapingcourse.com/assets/images/challenge.svg,0,MH01,This is a variable product called a Chaz Kangeroo Hoodie,https://scrapingcourse.com/ecommerce/product/chaz-kangeroo-hoodie
N/A,N/A,,0,N/A,N/A,
Chaz Kangeroo Hoodie,$52 ,,0,N/A,N/A,
Teton Pullover Hoodie,$70 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh02-black_main.jpg,0,MH02,This is a variable product called a Teton Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/teton-pullover-hoodie
Teton Pullover Hoodie,$70 ,,0,N/A,N/A,
Bruno Compete Hoodie,$63 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh03-black_main.jpg,0,MH03,This is a variable product called a Bruno Compete Hoodie,https://scrapingcourse.com/ecommerce/product/bruno-compete-hoodie
Bruno Compete Hoodie,$63 ,,0,N/A,N/A,
Frankie Sweatshirt,$60 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh04-green_main.jpg,0,MH04,This is a variable product called a Frankie  Sweatshirt,https://scrapingcourse.com/ecommerce/product/frankie--sweatshirt
Frankie Sweatshirt,$60 ,,0,N/A,N/A,
Hollister Backyard Sweatshirt,$52 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh05-white_main.jpg,0,MH05,This is a variable product called a Hollister Backyard Sweatshirt,https://scrapingcourse.com/ecommerce/product/hollister-backyard-sweatshirt
Hollister Backyard Sweatshirt,$52 ,,0,N/A,N/A,
Stark Fundamental Hoodie,$42 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh06-blue_main.jpg,0,MH06,This is a variable product called a Stark Fundamental Hoodie,https://scrapingcourse.com/ecommerce/product/stark-fundamental-hoodie
Stark Fundamental Hoodie,$42 ,,0,N/A,N/A,
Hero Hoodie,$54 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh07-gray_main.jpg,0,MH07,This is a variable product called a Hero Hoodie,https://scrapingcourse.com/ecommerce/product/hero-hoodie
Hero Hoodie,$54 ,,0,N/A,N/A,
Oslo Trek Hoodie,$42 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh08-brown_main.jpg,0,MH08,This is a variable product called a Oslo Trek Hoodie,https://scrapingcourse.com/ecommerce/product/oslo-trek-hoodie
Oslo Trek Hoodie,$42 ,,0,N/A,N/A,
Abominable Hoodie,$69 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh09-blue_main.jpg,0,MH09,This is a variable product called a Abominable Hoodie,https://scrapingcourse.com/ecommerce/product/abominable-hoodie
Abominable Hoodie,$69 ,,0,N/A,N/A,
Mach Street Sweatshirt,$62 ,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh10-blue_main.jpg,0,MH10,This is a variable product called a Mach Street Sweatshirt,https://scrapingcourse.com/ecommerce/product/mach-street-sweatshirt
Mach Street Sweatshirt,$62 ,,0,N/A,N/A,
